"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2261,33,33,67,"Greng (FR)","L'initiative pour le versement d'une 13e rente AVS est rejetée à Greng. Les électeurs de cette petite commune sont 59 à dire non et 29 à accepter le texte. Le plus fort pourcentage de non du canton de Fribourg a été obtenu à Greng."
2262,60.5,60.5,39.5,"Cormondes (FR)","Les électeurs de Cormondes valident l'initiative pour le versement d'une 13e rente AVS avec 60,5 pour cent des voix. Cormondes a approuvé l'initiative, tout comme son canton."
2265,56.3,56.3,43.7,"Chiètres (FR)","Les habitants de Chiètres (FR) acceptent l'initiative pour le versement d'une 13e rente AVS avec 56,3 pour cent de oui. Chiètres (FR) a approuvé l'initiative, tout comme son canton."
2266,60.1,60.1,39.9,"Kleinbösingen (FR)","Les habitants de Kleinbösingen acceptent l'initiative pour le versement d'une 13e rente AVS avec 60,1 pour cent de oui. Kleinbösingen a approuvé l'initiative, tout comme son canton."
2271,62.4,62.4,37.6,"Meyriez (FR)","A Meyriez, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 62,4 pour cent des suffrages. Meyriez a approuvé l'initiative, tout comme son canton."
2272,81.8,81.8,18.2,"Misery-Courtion (FR)","A Misery-Courtion, les habitants disent oui à 81,8 pour cent à l'initiative pour une 13 rente AVS. Misery-Courtion a approuvé l'initiative, tout comme son canton."
2274,53.2,53.2,46.8,"Montilier (FR)","Les électeurs de Montilier valident l'initiative pour le versement d'une 13e rente AVS avec 53,2 pour cent des voix. Montilier a approuvé l'initiative, tout comme son canton."
2275,55,55,45,"Morat (FR)","Les habitants de Morat acceptent l'initiative pour le versement d'une 13e rente AVS avec 55 pour cent de oui. Morat a approuvé l'initiative, tout comme son canton."
2276,48.3,48.3,51.7,"Ried bei Kerzers (FR)","Les habitants de Ried bei Kerzers rejettent l'initiative pour le versement d'une 13e rente AVS avec 51,7 pour cent de non. Ried bei Kerzers a rejeté l'initiative, contrairement à son canton."
2278,54.4,54.4,45.6,"Ormey (FR)","A Ormey, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 54,4 pour cent des suffrages. Ormey a approuvé l'initiative, tout comme son canton."
